city,geo_h3_10,lat_h3,lon_h3,atm_category,target,atm_cnt
Екатеринбург,8a10c2283357fff,56.86586065901216,60.53222379993044,category4,95.33333333333333,1
Екатеринбург,8a10c2288087fff,56.88539062197093,60.58820342700668,category3,30652.666666666668,4
Екатеринбург,8a10c228820ffff,56.89164764372679,60.60539892092092,category2,1162.1666666666665,1
Екатеринбург,8a10c2288adffff,56.89503858949136,60.598777195669726,category1,2961.3333333333335,1
Екатеринбург,8a10c228944ffff,56.89620627985079,60.625910704724106,category1,2963.3333333333335,1
Екатеринбург,8a10c2289517fff,56.89398022310032,60.61260981174454,category4,116.35,1
Екатеринбург,8a10c2289737fff,56.89742522591588,60.62647252303491,category4,84.75,1
Екатеринбург,8a10c22898f7fff,56.90664654411901,60.61435209100548,category1,14452.166666666666,1
Екатеринбург,8a10c22898f7fff,56.90664654411901,60.61435209100548,category4,88.33333333333333,1
Екатеринбург,8a10c2289a0ffff,56.91131015063829,60.628781221298155,category2,696.1666666666666,1
Екатеринбург,8a10c2289a1ffff,56.91009130910829,60.62821914918943,category4,154.33333333333334,1
Екатеринбург,8a10c2289c9ffff,56.895675927374704,60.60929911228175,category4,80.83333333333333,1
Екатеринбург,8a10c2289ceffff,56.89970402666804,60.61320008396932,category4,75.2,1
Екатеринбург,8a10c228a087fff,56.86238767292701,60.59194151048733,category2,933.0,1
Екатеринбург,8a10c228a6a7fff,56.8573001891341,60.60186674654757,category1,6947.0,1
Екатеринбург,8a10c228a797fff,56.85655753241406,60.597437668849444,category4,104.5,1
Екатеринбург,8a10c228b577fff,56.87378642428406,60.619673758858944,category2,8863.5,3
Екатеринбург,8a10c228b92ffff,56.887885067149654,60.60980337199665,category3,31720.999999999996,2
Екатеринбург,8a10c228b96ffff,56.88984636229223,60.61479744440498,category1,5670.666666666666,1
Екатеринбург,8a10c228d4cffff,56.90219061229263,60.587747611112036,category4,128.5,1
Екатеринбург,8a10c229128ffff,56.82412228275349,60.50496257207906,category1,11998.833333333334,1
Екатеринбург,8a10c229128ffff,56.82412228275349,60.50496257207906,category4,85.45,1
Екатеринбург,8a10c2293a17fff,56.808737707131456,60.4938574226389,category2,2200.0,1
Екатеринбург,8a10c229802ffff,56.83014718538072,60.560800822082044,category3,25635.0,2
Екатеринбург,8a10c229825ffff,56.83264560769994,60.58236953417299,category1,12009.166666666666,1
Екатеринбург,8a10c229825ffff,56.83264560769994,60.58236953417299,category4,76.6,1
Екатеринбург,8a10c229851ffff,56.820865543908155,60.55246481929163,category2,1229.0,1
Екатеринбург,8a10c2298627fff,56.82384130953801,60.570162276975374,category2,1061.3333333333333,1
Екатеринбург,8a10c2298787fff,56.82103019217409,60.566831795946634,category3,33090.16666666667,3
Екатеринбург,8a10c2298d4ffff,56.82998168561973,60.54643100964279,category4,56.55,1
